Date,Description,Amount,,,
2025-06-16,Mobile Top-up (Jazz),-1000,,,
2025-02-16,Mobile Top-up (Zong),-1000,,,
2025-01-08,Netflix Subscription,-1100,,,
2025-01-27,Netflix Subscription,-1100,,,
2025-02-08,Netflix Subscription,-1100,,,
2025-02-27,Netflix Subscription,-1100,,,
2025-03-08,Netflix Subscription,-1100,,,
2025-03-27,Netflix Subscription,-1100,,,
2025-04-08,Netflix Subscription,-1100,,,
2025-04-27,Netflix Subscription,-1100,,,
2025-05-08,Netflix Subscription,-1100,,,
2025-05-27,Netflix Subscription,-1100,,,
2025-06-08,Netflix Subscription,-1100,,,
2025-06-27,Netflix Subscription,-1100,,,
2025-02-12,Old Gym Membership,0,,,
2025-04-30,Old Gym Membership,-2000,,,
2025-05-30,Old Gym Membership,-2000,,,
2025-06-30,Old Gym Membership,-2000,,,
2025-01-19,Optical Cable TV,-1500,,,
2025-04-19,Optical Cable TV,-1500,,,
2025-01-20,Salt n' Pepper Restaurant,-3200,,,
2025-02-20,Salt n' Pepper Restaurant,-2800,,,
2025-03-20,Salt n' Pepper Restaurant,-3500,,,
2025-04-20,Salt n' Pepper Restaurant,-3000,,,
2025-05-20,Salt n' Pepper Restaurant,-2200,,,
2025-01-10,School Fee - The Educators,-8500,,,
2025-02-10,School Fee - The Educators,-8500,,,
2025-03-10,School Fee - The Educators,-8500,,,
2025-04-10,School Fee - The Educators,-8500,,,
2025-05-10,School Fee - The Educators,-8500,,,
2025-06-10,School Fee - The Educators,-8500,,,
2025-03-30,Shoe Repairs,-600,,,
2025-01-09,SHOQ PTCL Subscription,-500,,,
2025-01-28,SHOQ PTCL Subscription,-500,,,
2025-02-09,SHOQ PTCL Subscription,-500,,,
2025-02-28,SHOQ PTCL Subscription,-500,,,
2025-03-09,SHOQ PTCL Subscription,-500,,,
2025-03-28,SHOQ PTCL Subscription,-500,,,
2025-03-28,SHOQ PTCL Subscription,-500,,,
2025-04-09,SHOQ PTCL Subscription,-500,,,
2025-04-28,SHOQ PTCL Subscription,-500,,,
2025-05-09,SHOQ PTCL Subscription,-500,,,
2025-05-28,SHOQ PTCL Subscription,-500,,,
2025-06-09,SHOQ PTCL Subscription,-500,,,
2025-06-28,SHOQ PTCL Subscription,-500,,,
2025-06-19,Panaversity- Agentic AI (Online),-7500,,,
2025-01-03,SSGC Gas Bill,-3200,,,
2025-01-23,SSGC Gas Bill,-2900,,,
2025-02-03,SSGC Gas Bill,-3500,,,
2025-02-23,SSGC Gas Bill,-3100,,,
2025-03-03,SSGC Gas Bill,-2800,,,
2025-03-23,SSGC Gas Bill,-3000,,,
2025-04-03,SSGC Gas Bill,-2600,,,
2025-04-23,SSGC Gas Bill,-2800,,,
2025-05-03,SSGC Gas Bill,-2200,,,
2025-05-23,SSGC Gas Bill,-2500,,,
2025-06-03,SSGC Gas Bill,-2000,,,
2025-06-23,SSGC Gas Bill,-2300,,,
2025-01-21,Water Bill (Cantonment Board),-1800,,,
2025-02-21,Water Bill (Cantonment Board),-1800,,,
2025-03-21,Water Bill (Cantonment Board),-1800,,,
2025-04-21,Water Bill (Cantonment Board),-1800,,,
2025-05-21,Water Bill (Cantonment Board),-1800,,,
2025-06-21,Water Bill (Cantonment Board),-1800,,,
,,-429400,,,
